timestep,location,flow,occupy,speed
301,2,39,1,1
301,3,89,1,1
301,4,39,1,1
301,5,8,1,1
301,6,11,1,1
301,7,46,1,1
301,8,36,1,1
301,9,31,1,1
301,10,12,1,1
301,11,58,1,1
301,12,41,1,1
301,13,74,1,1
301,14,43,1,1
301,15,30,1,1
301,16,74,1,1
301,17,24,1,1
301,18,53,1,1
301,19,22,1,1
301,20,6,1,1
602,2,30,1,1
602,3,150,1,1
602,4,95,1,1
602,5,20,1,1
602,6,24,1,1
602,7,60,1,1
602,8,27,1,1
602,9,56,1,1
602,10,23,1,1
602,11,111,1,1
602,12,58,1,1
602,13,101,1,1
602,14,57,1,1
602,15,38,1,1
602,16,77,1,1
602,17,30,1,1
602,18,59,1,1
602,19,26,1,1
602,20,19,1,1
903,2,36,1,1
903,3,144,1,1
903,4,92,1,1
903,5,22,1,1
903,6,42,1,1
903,7,94,1,1
903,8,82,1,1
903,9,42,1,1
903,10,32,1,1
903,11,71,1,1
903,12,60,1,1
903,13,102,1,1
903,14,58,1,1
903,15,38,1,1
903,16,169,1,1
903,17,40,1,1
903,18,81,1,1
903,19,31,1,1
903,20,9,1,1
1204,2,29,1,1
1204,3,177,1,1
1204,4,95,1,1
1204,5,32,1,1
1204,6,35,1,1
1204,7,90,1,1
1204,8,84,1,1
1204,9,58,1,1
1204,10,57,1,1
1204,11,109,1,1
1204,12,89,1,1
1204,13,128,1,1
1204,14,76,1,1
1204,15,50,1,1
1204,16,153,1,1
1204,17,41,1,1
1204,18,81,1,1
1204,19,28,1,1
1204,20,26,1,1
1505,2,32,1,1
1505,3,125,1,1
1505,4,84,1,1
1505,5,27,1,1
1505,6,27,1,1
1505,7,90,1,1
1505,8,52,1,1
1505,9,74,1,1
1505,10,19,1,1
1505,11,102,1,1
1505,12,38,1,1
1505,13,70,1,1
1505,14,51,1,1
1505,15,43,1,1
1505,16,93,1,1
1505,17,29,1,1
1505,18,52,1,1
1505,19,31,1,1
1505,20,29,1,1
1806,2,43,1,1
1806,3,175,1,1
1806,4,78,1,1
1806,5,30,1,1
1806,6,50,1,1
1806,7,114,1,1
1806,8,89,1,1
1806,9,74,1,1
1806,10,26,1,1
1806,11,96,1,1
1806,12,41,1,1
1806,13,105,1,1
1806,14,46,1,1
1806,15,49,1,1
1806,16,166,1,1
1806,17,42,1,1
1806,18,57,1,1
1806,19,43,1,1
1806,20,21,1,1
2107,2,43,1,1
2107,3,150,1,1
2107,4,113,1,1
2107,5,46,1,1
2107,6,49,1,1
2107,7,126,1,1
2107,8,42,1,1
2107,9,63,1,1
2107,10,38,1,1
2107,11,107,1,1
2107,12,71,1,1
2107,13,123,1,1
2107,14,81,1,1
2107,15,44,1,1
2107,16,96,1,1
2107,17,34,1,1
2107,18,89,1,1
2107,19,39,1,1
2107,20,20,1,1
2408,2,37,1,1
2408,3,164,1,1
2408,4,123,1,1
2408,5,30,1,1
2408,6,29,1,1
2408,7,108,1,1
2408,8,10,1,1
2408,9,103,1,1
2408,10,24,1,1
2408,11,67,1,1
2408,12,45,1,1
2408,13,137,1,1
2408,14,70,1,1
2408,15,63,1,1
2408,16,22,1,1
2408,17,28,1,1
2408,18,72,1,1
2408,19,18,1,1
2408,20,39,1,1
2709,2,59,1,1
2709,3,87,1,1
2709,4,75,1,1
2709,5,35,1,1
2709,6,54,1,1
2709,7,114,1,1
2709,8,7,1,1
2709,9,64,1,1
2709,10,46,1,1
2709,11,54,1,1
2709,12,42,1,1
2709,13,119,1,1
2709,14,88,1,1
2709,15,39,1,1
2709,16,18,1,1
2709,17,25,1,1
2709,18,77,1,1
2709,19,5,1,1
2709,20,22,1,1
3010,2,49,1,1
3010,3,105,1,1
3010,4,130,1,1
3010,5,37,1,1
3010,6,42,1,1
3010,7,31,1,1
3010,8,9,1,1
3010,9,86,1,1
3010,10,37,1,1
3010,11,13,1,1
3010,12,29,1,1
3010,13,115,1,1
3010,14,69,1,1
3010,15,51,1,1
3010,16,9,1,1
3010,17,25,1,1
3010,18,80,1,1
3010,19,3,1,1
3010,20,36,1,1
3311,2,65,1,1
3311,3,133,1,1
3311,4,78,1,1
3311,5,39,1,1
3311,6,40,1,1
3311,7,13,1,1
3311,8,9,1,1
3311,9,93,1,1
3311,10,27,1,1
3311,11,76,1,1
3311,12,47,1,1
3311,13,150,1,1
3311,14,41,1,1
3311,15,72,1,1
3311,16,41,1,1
3311,17,24,1,1
3311,18,89,1,1
3311,19,7,1,1
3311,20,40,1,1
3612,2,48,1,1
3612,3,118,1,1
3612,4,78,1,1
3612,5,35,1,1
3612,6,42,1,1
3612,7,12,1,1
