timestep,location,flow,occupy,speed
301,0,39,0,0
301,1,11,0,0
301,2,24,0,0
301,3,5,0,0
301,4,73,0,0
301,5,22,0,0
301,6,6,0,0
301,7,20,0,0
301,8,21,0,0
301,9,3,0,0
301,10,11,0,0
301,11,5,0,0
301,12,5,0,0
301,13,8,0,0
301,14,42,0,0
301,15,33,0,0
301,16,8,0,0
301,17,3,0,0
301,18,5,0,0
301,19,26,0,0
301,20,7,0,0
301,21,5,0,0
301,22,4,0,0
301,23,4,0,0
301,24,6,0,0
301,25,26,0,0
301,26,37,0,0
301,27,5,0,0
301,28,53,0,0
301,29,41,0,0
301,30,9,0,0
301,31,65,0,0
301,32,12,0,0
301,33,6,0,0
301,34,13,0,0
301,35,49,0,0
301,36,4,0,0
301,37,22,0,0
301,38,16,0,0
301,39,17,0,0
301,40,4,0,0
301,41,2,0,0
301,42,58,0,0
301,43,18,0,0
301,44,6,0,0
301,45,6,0,0
301,46,4,0,0
602,0,30,0,0
602,1,17,0,0
602,2,15,0,0
602,3,29,0,0
602,4,104,0,0
602,5,63,0,0
602,6,2,0,0
602,7,44,0,0
602,8,35,0,0
602,9,4,0,0
602,10,30,0,0
602,11,29,0,0
602,12,16,0,0
602,13,20,0,0
602,14,55,0,0
602,15,21,0,0
602,16,11,0,0
602,17,6,0,0
602,18,8,0,0
602,19,48,0,0
602,20,19,0,0
602,21,9,0,0
602,22,5,0,0
602,23,5,0,0
602,24,13,0,0
602,25,26,0,0
602,26,47,0,0
602,27,24,0,0
602,28,87,0,0
602,29,58,0,0
602,30,13,0,0
602,31,88,0,0
602,32,23,0,0
602,33,10,0,0
602,34,30,0,0
602,35,50,0,0
602,36,7,0,0
602,37,26,0,0
602,38,15,0,0
602,39,8,0,0
602,40,19,0,0
602,41,0,0,0
602,42,62,0,0
602,43,20,0,0
602,44,11,0,0
602,45,10,0,0
602,46,9,0,0
903,0,36,0,0
903,1,6,0,0
903,2,9,0,0
903,3,29,0,0
903,4,105,0,0
903,5,54,0,0
903,6,7,0,0
903,7,37,0,0
903,8,32,0,0
903,9,5,0,0
903,10,31,0,0
903,11,33,0,0
903,12,17,0,0
903,13,22,0,0
903,14,79,0,0
903,15,81,0,0
903,16,13,0,0
903,17,1,0,0
903,18,5,0,0
903,19,37,0,0
903,20,32,0,0
903,21,2,0,0
903,22,10,0,0
903,23,15,0,0
903,24,24,0,0
903,25,26,0,0
903,26,42,0,0
903,27,6,0,0
903,28,65,0,0
903,29,60,0,0
903,30,11,0,0
903,31,91,0,0
903,32,32,0,0
903,33,16,0,0
903,34,25,0,0
903,35,72,0,0
903,36,9,0,0
903,37,31,0,0
903,38,23,0,0
903,39,13,0,0
903,40,9,0,0
903,41,0,0,0
903,42,146,0,0
903,43,25,0,0
903,44,11,0,0
903,45,15,0,0
903,46,9,0,0
1204,0,29,0,0
1204,1,14,0,0
1204,2,27,0,0
1204,3,33,0,0
1204,4,130,0,0
1204,5,62,0,0
1204,6,8,0,0
1204,7,41,0,0
1204,8,27,0,0
1204,9,3,0,0
1204,10,25,0,0
1204,11,33,0,0
1204,12,29,0,0
1204,13,31,0,0
1204,14,70,0,0
1204,15,79,0,0
1204,16,22,0,0
1204,17,5,0,0
1204,18,4,0,0
1204,19,54,0,0
1204,20,25,0,0
1204,21,7,0,0
1204,22,10,0,0
1204,23,20,0,0
1204,24,23,0,0
1204,25,53,0,0
1204,26,45,0,0
1204,27,27,0,0
1204,28,82,0,0
1204,29,89,0,0
1204,30,16,0,0
1204,31,112,0,0
1204,32,57,0,0
1204,33,31,0,0
1204,34,37,0,0
1204,35,63,0,0
1204,36,19,0,0
1204,37,28,0,0
1204,38,21,0,0
1204,39,13,0,0
1204,40,24,0,0
1204,41,2,0,0
1204,42,132,0,0
1204,43,31,0,0
1204,44,10,0,0
1204,45,10,0,0
1204,46,18,0,0
1505,0,32,0,0
1505,1,13,0,0
1505,2,17,0,0
1505,3,6,0,0
1505,4,111,0,0
1505,5,70,0,0
1505,6,5,0,0
1505,7,49,0,0
1505,8,40,0,0
1505,9,1,0,0
1505,10,9,0,0
1505,11,1,0,0
1505,12,26,0,0
1505,13,28,0,0
1505,14,79,0,0
1505,15,42,0,0
1505,16,19,0,0
1505,17,10,0,0
1505,18,13,0,0
1505,19,61,0,0
1505,20,20,0,0
1505,21,9,0,0
1505,22,7,0,0
1505,23,11,0,0
1505,24,12,0,0
1505,25,18,0,0
1505,26,44,0,0
1505,27,8,0,0
1505,28,94,0,0
1505,29,38,0,0
1505,30,9,0,0
1505,31,61,0,0
1505,32,19,0,0
1505,33,7,0,0
1505,34,36,0,0
1505,35,42,0,0
1505,36,7,0,0
1505,37,31,0,0
1505,38,13,0,0
1505,39,7,0,0
1505,40,26,0,0
1505,41,3,0,0
1505,42,80,0,0
1505,43,20,0,0
1505,44,9,0,0
1505,45,9,0,0
1505,46,10,0,0
